,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
80,80.0,80.0,0.8,0.8,0.8,0.8,0.0,AF,80,80,-7.45801772638064,AF
81,81.0,81.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,81,81,-7.818106409676206,AF
82,82.0,82.0,0.7,0.7,0.7,0.7,0.0,AF,82,82,-7.053088046983647,AF
83,83.0,83.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,83,83,-7.14752343164437,AF
84,84.0,84.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,84,84,-7.048661377755719,AF
85,85.0,85.0,0.7,0.9,0.8,0.8,0.1414213562373095,AF,85,85,-6.615469845004981,AF
86,86.0,86.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,86,86,-7.987888660060988,AF
87,87.0,87.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,87,87,-7.102932024189352,AF
88,88.0,88.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,88,88,-7.497457133397384,AF
89,89.0,89.0,0.7,0.7,0.7,0.7,0.0,AF,89,89,-7.129004152036619,AF
90,90.0,90.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,90,90,-6.889601519053423,AF
91,91.0,91.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,91,91,-6.862134281688487,AF
92,92.0,92.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,92,92,-7.660396812570116,AF
93,93.0,93.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,93,93,-7.505431852478415,AF
94,94.0,94.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.0707106781186547,AF,94,94,-7.150628565662661,AF
95,95.0,95.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,95,95,-7.228336220443323,AF
96,96.0,96.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,96,96,-7.081278512381846,AF
97,97.0,97.0,0.8,0.8,0.8,0.8,0.0,AF,97,97,-7.810505974111758,AF
98,98.0,98.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,98,98,-6.155735632056287,AF
99,99.0,99.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,99,99,-6.6117271772453154,AF
100,100.0,100.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,100,100,-6.200893703572307,AF
101,101.0,101.0,0.749,0.966,0.8574999999999999,0.8574999999999999,0.1534421715174808,AF,101,101,-7.403383397742742,AF
102,102.0,102.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,102,102,-7.051997109883908,AF
103,103.0,103.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,103,103,-7.634089692542631,AF
104,104.0,104.0,0.765,1.081,0.923,0.923,0.2234457428549489,AF,104,104,-6.13797246191883,AF
105,105.0,105.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,105,105,-7.12191016519106,AF
106,106.0,106.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,106,106,-6.949075220706103,AF
107,107.0,107.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,107,107,-6.698378555471885,AF
108,108.0,108.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,108,108,-6.828043585189951,AF
109,109.0,109.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,109,109,-6.514335196048821,AF
110,110.0,110.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,110,110,-6.603155251495441,AF
111,111.0,111.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,111,111,-7.112057571475012,AF
112,112.0,112.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,112,112,-7.063900948031775,AF
113,113.0,113.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,113,113,-5.791889799800478,AF
114,114.0,114.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,114,114,-7.10920996330943,AF
