,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
142,142.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,142,142,-6.631377196172612,AF
143,143.0,0.7,1.0,0.85,0.85,0.21213203435596428,AF,143,143,-6.73103105528455,AF
144,144.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,144,144,-7.34314484713508,AF
145,145.0,0.8,0.8,0.8,0.8,0.0,AF,145,145,-6.848056544672122,AF
146,146.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,146,146,-8.091948858001045,AF
147,147.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,147,147,-6.769594766362988,AF
148,148.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,148,148,,AF
149,149.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,149,149,-7.475130228973656,AF
150,150.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,150,150,-6.305266157816522,AF
151,151.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,151,151,-5.7995784244996695,AF
152,152.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,152,152,-7.291292285321312,AF
153,153.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,153,153,-7.491577786092904,AF
154,154.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,154,154,-7.178917388311452,AF
155,155.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,155,155,-6.312806227549317,AF
156,156.0,0.7,1.2,0.89,0.85,0.2078995483935024,PVC,156,156,-6.943064204410822,AF
157,157.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,157,157,-5.01372551595541,AF
158,158.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,158,158,-6.972871509647924,AF
159,159.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,159,159,-7.5358667173245015,AF
160,160.0,0.75,0.799,0.7745,0.7745,0.034648232278140866,N,160,160,-6.7841849736518824,AF
161,161.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,161,161,,AF
162,162.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,162,162,-7.381254869688679,AF
163,163.0,0.816,0.932,0.8740000000000001,0.8740000000000001,0.08202438661763957,AF,163,163,-6.580946730232284,AF
164,164.0,0.076,0.304,0.1424,0.08800000000000001,0.09726664381996533,PVC,164,164,-7.176236539432049,AF
165,165.0,0.7,0.7,0.7,0.7,0.0,AF,165,165,-5.719945351604309,AF
166,166.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,166,166,-5.911388238357795,AF
167,167.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,167,167,-6.580213059806359,AF
168,168.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,168,168,-6.3133591128705175,AF
169,169.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,169,169,-7.315935288773332,AF
170,170.0,0.6,1.0,0.8,0.8,0.28284271247461895,AF,170,170,-7.483751822392025,AF
171,171.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,171,171,-7.795526550750669,AF
172,172.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,172,172,-6.9903669627246225,AF
173,173.0,0.6,1.3,0.95,0.95,0.2173067468400883,PVC,173,173,-7.969912159772411,AF
174,174.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,174,174,-7.960346369823669,AF
175,175.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,175,175,,AF
176,176.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,176,176,-7.452613108809833,AF
177,177.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,177,177,-6.9703817220398925,AF
178,178.0,0.765,0.787,0.7759999999999999,0.7759999999999999,0.01555634918610406,N,178,178,-7.0761956676840345,AF
179,179.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,179,179,-7.638004002107617,AF
180,180.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,180,180,-7.626541943371482,AF
181,181.0,0.6829999999999999,1.101,0.892,0.892,0.2955706345359768,AF,181,181,-7.315615851660179,AF
182,182.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,182,182,-7.15774494320164,AF
183,183.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,183,183,-7.062354480210144,AF
184,184.0,0.264,0.524,0.39399999999999996,0.39399999999999996,0.1838477631085024,PVC,184,184,-7.078088717060987,AF
185,185.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,185,185,-7.257412713624546,AF
186,186.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,186,186,-7.602490291204302,AF
187,187.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,187,187,-7.4639479845682075,AF
188,188.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,188,188,-7.445824329850588,AF
189,189.0,0.7,0.7,0.7,0.7,0.0,AF,189,189,-7.135433079226988,AF
190,190.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,190,190,-7.204488947094879,AF
191,191.0,0.184,0.23199999999999998,0.2053333333333333,0.2,0.024440403706431156,PVC,191,191,-6.87713039625036,AF
192,192.0,0.7,0.7,0.7,0.7,0.0,AF,192,192,-7.023619918428802,AF
193,193.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,193,193,-6.817432514984058,AF
194,194.0,0.6,0.6,0.6,0.6,0.0,AF,194,194,-6.878819001742362,AF
195,195.0,0.784,0.784,0.784,0.784,0.0,PVC,195,195,-6.9810041760910355,AF
196,196.0,0.7,0.7,0.7,0.7,0.0,AF,196,196,-7.220836341194849,AF
197,197.0,0.256,0.792,0.524,0.49200000000000005,0.2287916082377149,PVC,197,197,-6.9404513127819145,AF
198,198.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,198,198,-7.062367047287308,AF
199,199.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,199,199,-7.073112502549161,AF
200,200.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,200,200,-7.5964456263879105,AF
201,201.0,0.20800000000000002,0.42,0.284,0.22399999999999998,0.11805083650698965,PVC,201,201,-6.989387893392202,AF
202,202.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,202,202,-6.948611879251293,AF
203,203.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,203,203,-7.524416283273367,AF
204,204.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,204,204,-7.0168271675400415,AF
205,205.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,205,205,-6.8784816785918,AF
206,206.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,206,206,-6.973606891865991,AF
207,207.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,207,207,-7.1534046406857135,AF
208,208.0,0.7,1.0,0.85,0.85,0.21213203435596428,AF,208,208,-6.996205195004272,AF
209,209.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,209,209,-7.760674116777446,AF
210,210.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,210,210,-7.040655769169798,AF
211,211.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,211,211,-7.374669204645038,AF
212,212.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,212,212,-7.3030332331831085,AF
