,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,se,label
130,130.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,509,-7.182333079348358,AF
131,131.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,510,-7.938419086070034,AF
132,132.0,0.7,0.7,0.7,0.7,0.0,AF,511,-6.232461041265018,AF
133,133.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,512,-6.9746530248056775,AF
134,134.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,513,-6.934645093191028,AF
135,135.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,514,-6.878802580246576,AF
136,136.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,515,-6.9718537866795565,AF
137,137.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,516,-6.320646697571839,AF
138,138.0,0.7,1.0,0.85,0.85,0.21213203435596428,AF,517,-7.384226644461349,AF
139,139.0,0.8,1.0,0.9,0.9,0.14142135623730948,AF,518,-6.920788683020872,AF
140,140.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,519,-7.504484543890697,AF
141,141.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,520,-6.6282751013260315,AF
142,142.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,521,-7.048839767525921,AF
143,143.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,522,-7.168200829323715,AF
144,144.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,523,-6.727717129045688,AF
145,145.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,524,-6.683009768408697,AF
146,146.0,0.6,0.6,0.6,0.6,0.0,AF,525,-6.831795290489774,AF
147,147.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,526,-6.535043757480764,AF
148,148.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF,527,-6.847833542996633,AF
149,149.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,528,-6.572442377070487,AF
150,150.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,529,-6.6301619853227125,AF
151,151.0,0.7,0.7,0.7,0.7,0.0,AF,530,-6.799363878954112,AF
152,152.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,531,-6.317756421497872,AF
153,153.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,532,-6.87613520563184,AF
154,154.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,533,-6.4941329748642715,AF
155,155.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,534,-6.612195634940123,AF
156,156.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,535,-8.154202798613982,AF
157,157.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,536,-6.969414797019442,AF
158,158.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,537,-6.770922330862637,AF
159,159.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,538,-7.211999095449093,AF
160,160.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,539,-6.286437425543567,AF
161,161.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,540,-7.374098865396322,AF
162,162.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,541,-7.808494427992273,AF
163,163.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,542,-7.982573937763361,AF
164,164.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,543,,AF
165,165.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,544,-7.941489874575401,AF
166,166.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,545,-7.4557197632022145,AF
167,167.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,546,-6.4790449138816655,AF
168,168.0,0.8,0.8,0.8,0.8,0.0,AF,547,-7.707295681602943,AF
169,169.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,548,-7.389182339857419,AF
170,170.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF,549,-7.3309037220908895,AF
171,171.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,550,-8.18584936573352,AF
172,172.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,551,-7.048079543501093,AF
173,173.0,0.6,0.6,0.6,0.6,0.0,AF,552,-7.856206680839032,AF
174,174.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,553,-8.073162308901209,AF
175,175.0,0.7,0.7,0.7,0.7,0.0,AF,554,-7.796079460851223,AF
176,176.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,555,-7.3413264246913315,AF
177,177.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,556,-7.999972664390838,AF
178,178.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,557,-7.7457690226293465,AF
