,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
18,18.0,-181.92283769174543,-145.8784561127027,-169.36936880993505,-177.10160818496223,14.645635891655886,AF,18.0,18.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,18,18,-6.779350327277272,AF
19,19.0,-528.4486079316226,156.786466109518,-81.99715150915438,64.28914305257179,278.34999884213767,N,19.0,19.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,19,19,-5.898611551444822,AF
20,20.0,-376.6147455236649,-195.97194474779425,-258.93702033053614,-219.3527480117776,73.58401744806963,AF,20.0,20.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,20,20,-7.017582178385889,AF
21,21.0,-225.14114172514223,-193.7505885898882,-214.2155631803128,-220.98521213666032,12.758525640694025,AF,21.0,21.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,21,21,-7.161239644003527,AF
22,22.0,-329.7863086301936,-283.52474884929893,-313.73458852017933,-322.48792262830614,18.702416915988422,AF,22.0,22.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,22,22,-7.224845158729395,AF
23,23.0,-240.18822408356368,-128.03034267275032,-201.1099163720558,-225.3987239201016,45.597396992682526,AF,23.0,23.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,23,23,-6.9964492463469625,AF
24,24.0,-125.2031246491596,-82.91568703318744,-97.65486335418524,-88.70503898519259,17.169026002796677,AF,24.0,24.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,24,24,-7.435392309991888,AF
25,25.0,-141.44027952998826,-39.06933068970128,-74.74943576115639,-52.62108565840082,41.61105149398389,AF,25.0,25.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,25,25,-7.66250563746364,AF
26,26.0,-746.5920670191945,343.73278246314794,-36.20353032818348,197.5966579663873,443.0206656548015,N,26.0,26.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,26,26,-7.323015860482211,AF
27,27.0,-447.61666954721335,-311.3344685641136,-358.877117371037,-329.5426132103753,55.62590188550306,AF,27.0,27.0,0.7,0.7,0.7,0.7,0.0,AF,27,27,-8.15969476161013,AF
28,28.0,-327.38306252536546,-188.7987942418137,-279.10563639183243,-309.2469635193255,56.355447513375104,AF,28.0,28.0,0.8,1.0,0.9,0.9,0.1414213562373094,AF,28,28,-6.249067505514188,AF
29,29.0,-516.4973967784737,76.11177669717848,-130.3802015572443,-4.351810189185431,240.67600837561,N,29.0,29.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,29,29,-7.066645369454745,AF
30,30.0,-272.93854972656163,-269.89211655644965,-271.65488574516246,-272.0098308971173,1.247674917081282,AF,30.0,30.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,30,30,-6.393272041573565,AF
31,31.0,-195.0795062774405,-154.52440969237645,-180.97224933523503,-189.87561970687625,16.522194628703122,AF,31.0,31.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,31,31,-6.4635444828951485,AF
32,32.0,-200.04758039330284,-62.77606604339968,-110.68655659366148,-81.86488420415708,55.69891506138182,AF,32.0,32.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,32,32,-6.906310005068418,AF
33,33.0,-329.7863086301936,-283.52474884929893,-313.73458852017933,-322.48792262830614,18.702416915988422,AF,33.0,33.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,33,33,-7.187848744064277,AF
34,34.0,-240.18822408356368,-128.03034267275032,-201.1099163720558,-225.3987239201016,45.597396992682526,AF,34.0,34.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,34,34,-6.906664661105844,AF
35,35.0,-125.2031246491596,-82.91568703318744,-97.65486335418524,-88.70503898519259,17.169026002796677,AF,35.0,35.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,35,35,-6.976838194802523,AF
36,36.0,-141.44027952998826,-39.06933068970128,-74.74943576115639,-52.62108565840082,41.61105149398389,AF,36.0,36.0,0.7,0.7,0.7,0.7,0.0,AF,36,36,-7.37297414046835,AF
37,37.0,-746.5920670191945,343.73278246314794,-36.20353032818348,197.5966579663873,443.0206656548015,N,37.0,37.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,37,37,-6.679056598893253,AF
38,38.0,-447.61666954721335,-311.3344685641136,-358.877117371037,-329.5426132103753,55.62590188550306,AF,38.0,38.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,38,38,-7.493398617400141,AF
39,39.0,-327.38306252536546,-188.7987942418137,-279.10563639183243,-309.2469635193255,56.355447513375104,AF,39.0,39.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,39,39,-6.956491750656094,AF
40,40.0,-516.4973967784737,76.11177669717848,-130.3802015572443,-4.351810189185431,240.67600837561,N,40.0,40.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,40,40,,AF
41,41.0,-272.93854972656163,-269.89211655644965,-271.65488574516246,-272.0098308971173,1.247674917081282,AF,41.0,41.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,41,41,-6.848868051077417,AF
42,42.0,-195.0795062774405,-154.52440969237645,-180.97224933523503,-189.87561970687625,16.522194628703122,AF,42.0,42.0,0.6,0.6,0.6,0.6,0.0,AF,42,42,-7.932654146630287,AF
